product_id,product_name,category,subcategory,brand,price,description,style_tags,color,sizes_available,rating,review_count,created_at,is_new_arrival
PROD-1010,CoastalThreads Bootcut Jeans - Black,Denim,Bootcut Jeans,CoastalThreads,97.96,A eco-friendly bootcut jeans by CoastalThreads. Perfect for special occasions.,"[""streetwear"", ""retro"", ""minimalist""]",Black,"[""S"", ""L"", ""XL"", ""XS"", ""M"", ""XXL""]",4.0,679,2025-10-31 14:45:10,False
PROD-1011,UrbanEdge Shirt Dress - White,Dresses,Shirt Dress,UrbanEdge,244.16,A classic shirt dress by UrbanEdge. Perfect for special occasions.,"[""edgy"", ""classic""]",White,"[""S"", ""L"", ""XXL"", ""XL"", ""M"", ""XS""]",3.2,82,2025-11-19 09:06:41,False
PROD-1012,PrismLine Graphic Tee - Black,Tops,Graphic Tee,PrismLine,133.79,A premium graphic tee by PrismLine. Perfect for everyday wear.,"[""minimalist"", ""athleisure""]",Black,"[""L"", ""XS"", ""XXL"", ""S""]",4.0,470,2025-03-19 02:51:43,False
PROD-1013,NovaStitch One-Piece Swimsuit - Burgundy,Swimwear,One-Piece Swimsuit,NovaStitch,226.0,A versatile one-piece swimsuit by NovaStitch. Perfect for everyday wear.,"[""casual"", ""eco-friendly""]",Burgundy,"[""XL"", ""L"", ""S""]",3.1,63,2026-02-27 21:13:07,True
PROD-1014,TerraKnit Running Sneakers - White,Shoes,Running Sneakers,TerraKnit,182.09,A trendy running sneakers by TerraKnit. Perfect for weekend getaways.,"[""minimalist"", ""edgy"", ""streetwear"", ""resort""]",White,"[""M"", ""S"", ""XXL"", ""XS"", ""XL""]",3.1,410,2024-07-22 07:29:45,False
PROD-1015,IronLoom Windbreaker - White,Outerwear,Windbreaker,IronLoom,299.56,A trendy windbreaker by IronLoom. Perfect for special occasions.,"[""preppy"", ""eco-friendly""]",White,"[""S"", ""M"", ""XS"", ""L"", ""XXL""]",5.0,296,2024-09-02 01:13:41,False
PROD-1016,PrismLine Fleece Hoodie - Black,Outerwear,Fleece Hoodie,PrismLine,94.04,A eco-friendly fleece hoodie by PrismLine. Perfect for special occasions.,"[""retro"", ""boho"", ""streetwear"", ""athleisure""]",Black,"[""M"", ""XL"", ""S"", ""XXL"", ""L""]",4.8,213,2025-02-14 02:01:59,False
PROD-1017,CoastalThreads Puffer Jacket - Sand,Outerwear,Puffer Jacket,CoastalThreads,235.9,A versatile puffer jacket by CoastalThreads. Perfect for special occasions.,"[""casual"", ""resort"", ""classic""]",Sand,"[""XL"", ""L"", ""XS"", ""XXL"", ""M"", ""S""]",4.3,563,2024-02-25 23:13:34,False
PROD-1018,PeakForm Sandals - Black,Shoes,Sandals,PeakForm,78.81,A trendy sandals by PeakForm. Perfect for active lifestyles.,"[""classic"", ""casual"", ""resort""]",Black,"[""XL"", ""S"", ""XXL"", ""XS"", ""M"", ""L""]",3.5,30,2024-10-05 15:03:00,False
PROD-1019,NovaStitch Compression Shorts - Burgundy,Activewear,Compression Shorts,NovaStitch,127.1,A premium compression shorts by NovaStitch. Perfect for special occasions.,"[""resort"", ""streetwear""]",Burgundy,"[""L"", ""M"", ""XL"", ""XS""]",3.1,233,2024-02-06 18:16:26,False
PROD-1020,VerdantCo Wrap Dress - White,Dresses,Wrap Dress,VerdantCo,131.9,A eco-friendly wrap dress by VerdantCo. Perfect for active lifestyles.,"[""classic"", ""luxury"", ""retro""]",White,"[""XS"", ""M"", ""S""]",5.0,599,2025-02-16 09:18:12,True
PROD-1021,IronLoom Wrap Dress - Sand,Dresses,Wrap Dress,IronLoom,91.31,A trendy wrap dress by IronLoom. Perfect for special occasions.,"[""retro"", ""streetwear"", ""edgy"", ""minimalist""]",Sand,"[""L"", ""XS"", ""M"", ""XXL"", ""S""]",4.4,684,2024-07-12 14:22:06,False
PROD-1022,VerdantCo Fleece Hoodie - Sand,Outerwear,Fleece Hoodie,VerdantCo,55.63,A premium fleece hoodie by VerdantCo. Perfect for special occasions.,"[""edgy"", ""boho"", ""retro""]",Sand,"[""L"", ""XL"", ""XS"", ""S"", ""M""]",3.8,220,2025-10-29 19:23:30,False
PROD-1023,AuraWear Compression Shorts - Rust,Activewear,Compression Shorts,AuraWear,204.47,A eco-friendly compression shorts by AuraWear. Perfect for active lifestyles.,"[""minimalist"", ""retro"", ""preppy"", ""athleisure""]",Rust,"[""S"", ""M"", ""XXL""]",3.6,208,2024-08-16 21:45:14,True
PROD-1024,TerraKnit Watch - White,Accessories,Watch,TerraKnit,74.43,A premium watch by TerraKnit. Perfect for weekend getaways.,"[""edgy"", ""luxury"", ""eco-friendly""]",White,"[""S"", ""XS"", ""XL"", ""XXL""]",4.4,229,2024-09-30 05:31:50,False
PROD-1025,PrismLine Bikini Set - Olive,Swimwear,Bikini Set,PrismLine,244.39,A eco-friendly bikini set by PrismLine. Perfect for active lifestyles.,"[""preppy"", ""athleisure""]",Olive,"[""XL"", ""XXL"", ""L"", ""M"", ""S"", ""XS""]",4.3,766,2026-01-07 09:08:44,False
PROD-1026,VerdantCo Beanie - Teal,Accessories,Beanie,VerdantCo,143.15,A classic beanie by VerdantCo. Perfect for active lifestyles.,"[""luxury"", ""minimalist"", ""boho""]",Teal,"[""M"", ""XL"", ""XS"", ""L"", ""XXL""]",4.4,241,2025-08-18 00:35:26,False
PROD-1027,SoleCraft Leather Belt - Sand,Accessories,Leather Belt,SoleCraft,37.42,A premium leather belt by SoleCraft. Perfect for everyday wear.,"[""retro"", ""preppy"", ""edgy""]",Sand,"[""L"", ""XS"", ""M"", ""S"", ""XXL"", ""XL""]",4.7,556,2024-12-08 14:16:42,False
PROD-1028,AuraWear Windbreaker - Black,Outerwear,Windbreaker,AuraWear,222.76,A classic windbreaker by AuraWear. Perfect for everyday wear.,"[""classic"", ""luxury"", ""edgy""]",Black,"[""XL"", ""XXL"", ""XS"", ""L"", ""S"", ""M""]",4.7,477,2024-10-09 07:20:57,True
PROD-1029,NovaStitch Wrap Dress - Rust,Dresses,Wrap Dress,NovaStitch,230.55,A versatile wrap dress by NovaStitch. Perfect for everyday wear.,"[""classic"", ""edgy"", ""boho""]",Rust,"[""XS"", ""XL"", ""XXL"", ""S"", ""L"", ""M""]",4.7,672,2024-03-03 12:55:55,False
PROD-1030,UrbanEdge Crossbody Bag - Blush,Accessories,Crossbody Bag,UrbanEdge,152.59,A classic crossbody bag by UrbanEdge. Perfect for weekend getaways.,"[""minimalist"", ""athleisure""]",Blush,"[""M"", ""S"", ""XS"", ""L"", ""XL""]",3.2,115,2024-02-09 21:21:39,False
PROD-1031,NovaStitch Shirt Dress - White,Dresses,Shirt Dress,NovaStitch,215.2,A eco-friendly shirt dress by NovaStitch. Perfect for everyday wear.,"[""resort"", ""luxury"", ""minimalist"", ""streetwear""]",White,"[""M"", ""XL"", ""L""]",3.6,682,2025-07-29 15:53:01,True
PROD-1032,SoleCraft Yoga Pants - Rust,Activewear,Yoga Pants,SoleCraft,197.95,A classic yoga pants by SoleCraft. Perfect for weekend getaways.,"[""edgy"", ""classic""]",Rust,"[""XXL"", ""XL"", ""M"", ""L""]",4.7,556,2026-01-21 02:05:36,False
PROD-1033,NovaStitch Bomber Jacket - White,Outerwear,Bomber Jacket,NovaStitch,179.55,A versatile bomber jacket by NovaStitch. Perfect for everyday wear.,"[""preppy"", ""minimalist"", ""resort""]",White,"[""M"", ""S"", ""L"", ""XS"", ""XL"", ""XXL""]",4.3,353,2025-03-10 10:25:26,False
PROD-1034,UrbanEdge Fleece Hoodie - Teal,Outerwear,Fleece Hoodie,UrbanEdge,221.61,A classic fleece hoodie by UrbanEdge. Perfect for weekend getaways.,"[""streetwear"", ""minimalist""]",Teal,"[""L"", ""XS"", ""XL"", ""S"", ""XXL"", ""M""]",4.0,713,2025-01-12 23:04:26,False
PROD-1035,PrismLine Compression Shorts - Teal,Activewear,Compression Shorts,PrismLine,118.5,A versatile compression shorts by PrismLine. Perfect for active lifestyles.,"[""edgy"", ""retro"", ""classic""]",Teal,"[""XS"", ""S"", ""M"", ""XXL""]",3.9,765,2024-10-14 14:53:11,True
PROD-1036,TerraKnit Board Shorts - Teal,Swimwear,Board Shorts,TerraKnit,83.69,A trendy board shorts by TerraKnit. Perfect for special occasions.,"[""boho"", ""streetwear"", ""minimalist"", ""resort""]",Teal,"[""XS"", ""XXL"", ""M"", ""L"", ""XL""]",3.4,658,2026-02-01 13:17:03,True
PROD-1037,VerdantCo Denim Skirt - Rust,Denim,Denim Skirt,VerdantCo,290.33,A premium denim skirt by VerdantCo. Perfect for everyday wear.,"[""preppy"", ""classic"", ""athleisure""]",Rust,"[""L"", ""XXL"", ""XS""]",3.5,595,2024-03-24 06:41:28,True
PROD-1038,NovaStitch Puffer Jacket - White,Outerwear,Puffer Jacket,NovaStitch,237.18,A premium puffer jacket by NovaStitch. Perfect for active lifestyles.,"[""edgy"", ""eco-friendly"", ""luxury"", ""minimalist""]",White,"[""M"", ""XL"", ""XS"", ""XXL"", ""L"", ""S""]",3.8,645,2024-11-23 19:35:22,False
PROD-1039,NovaStitch Henley - Navy,Tops,Henley,NovaStitch,146.13,A versatile henley by NovaStitch. Perfect for everyday wear.,"[""streetwear"", ""athleisure"", ""casual"", ""edgy""]",Navy,"[""M"", ""XXL"", ""L"", ""XS""]",4.2,708,2024-12-28 14:40:12,False
PROD-1040,CoastalThreads Watch - Teal,Accessories,Watch,CoastalThreads,274.35,A trendy watch by CoastalThreads. Perfect for everyday wear.,"[""luxury"", ""athleisure""]",Teal,"[""M"", ""XL"", ""XXL"", ""S""]",4.7,132,2025-12-29 02:19:36,False
PROD-1041,PrismLine Wrap Dress - Teal,Dresses,Wrap Dress,PrismLine,31.15,A versatile wrap dress by PrismLine. Perfect for active lifestyles.,"[""preppy"", ""streetwear"", ""eco-friendly""]",Teal,"[""XS"", ""S"", ""XXL""]",3.9,788,2025-02-22 16:05:57,False
PROD-1042,PrismLine Sandals - Rust,Shoes,Sandals,PrismLine,197.73,A trendy sandals by PrismLine. Perfect for weekend getaways.,"[""athleisure"", ""eco-friendly"", ""edgy""]",Rust,"[""L"", ""M"", ""XL"", ""XXL"", ""XS""]",4.0,169,2025-05-27 07:58:18,False
PROD-1043,SoleCraft Board Shorts - Teal,Swimwear,Board Shorts,SoleCraft,108.05,A premium board shorts by SoleCraft. Perfect for everyday wear.,"[""preppy"", ""streetwear""]",Teal,"[""L"", ""XS"", ""S"", ""M"", ""XXL"", ""XL""]",3.6,645,2025-11-17 16:28:52,False
PROD-1044,PrismLine Sunglasses - Navy,Accessories,Sunglasses,PrismLine,28.07,A classic sunglasses by PrismLine. Perfect for special occasions.,"[""preppy"", ""resort"", ""streetwear""]",Navy,"[""XL"", ""XS"", ""L"", ""XXL"", ""M""]",4.3,121,2025-12-17 20:01:27,False
PROD-1045,VerdantCo Sandals - Teal,Shoes,Sandals,VerdantCo,88.23,A premium sandals by VerdantCo. Perfect for special occasions.,"[""boho"", ""edgy"", ""preppy"", ""eco-friendly""]",Teal,"[""XS"", ""M"", ""L"", ""S""]",4.1,524,2025-02-19 00:55:07,False
PROD-1046,TerraKnit Bomber Jacket - Blush,Outerwear,Bomber Jacket,TerraKnit,155.61,A eco-friendly bomber jacket by TerraKnit. Perfect for weekend getaways.,"[""preppy"", ""athleisure"", ""resort"", ""retro""]",Blush,"[""M"", ""S"", ""XL"", ""XXL"", ""L"", ""XS""]",3.7,799,2025-09-30 02:48:20,True
PROD-1047,SoleCraft Rash Guard - Navy,Swimwear,Rash Guard,SoleCraft,290.29,A trendy rash guard by SoleCraft. Perfect for weekend getaways.,"[""casual"", ""athleisure"", ""retro""]",Navy,"[""XL"", ""L"", ""XS""]",3.7,744,2024-08-11 22:30:12,False
PROD-1048,AuraWear Running Sneakers - Burgundy,Shoes,Running Sneakers,AuraWear,258.48,A eco-friendly running sneakers by AuraWear. Perfect for weekend getaways.,"[""eco-friendly"", ""edgy"", ""streetwear""]",Burgundy,"[""XXL"", ""L"", ""XS"", ""M"", ""XL""]",4.7,245,2025-03-22 10:15:56,False
PROD-1049,CoastalThreads Polo - White,Tops,Polo,CoastalThreads,32.87,A versatile polo by CoastalThreads. Perfect for active lifestyles.,"[""athleisure"", ""boho"", ""casual""]",White,"[""L"", ""S"", ""XL"", ""M"", ""XXL""]",4.6,584,2024-10-06 17:00:26,True
PROD-1050,SoleCraft Crop Top - Blush,Tops,Crop Top,SoleCraft,85.0,A premium crop top by SoleCraft. Perfect for active lifestyles.,"[""minimalist"", ""preppy"", ""eco-friendly"", ""athleisure""]",Blush,"[""L"", ""M"", ""S""]",4.3,80,2025-11-17 04:52:47,False
PROD-1051,VerdantCo Windbreaker - Rust,Outerwear,Windbreaker,VerdantCo,49.85,A versatile windbreaker by VerdantCo. Perfect for active lifestyles.,"[""minimalist"", ""edgy"", ""preppy""]",Rust,"[""XS"", ""L"", ""M"", ""XXL"", ""XL""]",3.8,625,2026-02-10 15:20:07,False
PROD-1052,TerraKnit Trench Coat - Charcoal,Outerwear,Trench Coat,TerraKnit,193.84,A classic trench coat by TerraKnit. Perfect for everyday wear.,"[""luxury"", ""minimalist""]",Charcoal,"[""M"", ""L"", ""XS""]",4.4,598,2025-07-20 19:00:45,False
PROD-1053,IronLoom Oxford Shirt - Sand,Tops,Oxford Shirt,IronLoom,240.21,A versatile oxford shirt by IronLoom. Perfect for active lifestyles.,"[""minimalist"", ""athleisure""]",Sand,"[""M"", ""L"", ""XXL"", ""XL""]",4.8,351,2024-06-27 21:50:16,False
PROD-1054,NovaStitch Henley - Sand,Tops,Henley,NovaStitch,94.04,A versatile henley by NovaStitch. Perfect for active lifestyles.,"[""classic"", ""streetwear"", ""edgy"", ""casual""]",Sand,"[""XXL"", ""M"", ""XS"", ""XL"", ""L"", ""S""]",3.2,30,2025-05-24 12:57:37,False
PROD-1055,CoastalThreads Beanie - Rust,Accessories,Beanie,CoastalThreads,59.13,A versatile beanie by CoastalThreads. Perfect for weekend getaways.,"[""boho"", ""luxury"", ""edgy"", ""streetwear""]",Rust,"[""XS"", ""S"", ""XL""]",4.9,402,2025-12-05 17:03:54,False
PROD-1056,PeakForm Sundress - Sand,Dresses,Sundress,PeakForm,282.92,A versatile sundress by PeakForm. Perfect for special occasions.,"[""streetwear"", ""preppy"", ""eco-friendly"", ""edgy""]",Sand,"[""L"", ""S"", ""M"", ""XS"", ""XL"", ""XXL""]",3.6,67,2025-09-10 11:43:18,False
PROD-1057,AuraWear Tank Top - White,Tops,Tank Top,AuraWear,34.15,A classic tank top by AuraWear. Perfect for special occasions.,"[""minimalist"", ""luxury"", ""eco-friendly"", ""casual""]",White,"[""XL"", ""S"", ""XXL""]",3.7,243,2025-05-25 09:35:16,False
PROD-1058,PeakForm Denim Jacket - Navy,Denim,Denim Jacket,PeakForm,56.89,A classic denim jacket by PeakForm. Perfect for active lifestyles.,"[""boho"", ""athleisure"", ""streetwear"", ""casual""]",Navy,"[""S"", ""M"", ""XS""]",3.7,134,2025-10-15 22:32:49,False
PROD-1059,AuraWear Polo - Charcoal,Tops,Polo,AuraWear,82.02,A eco-friendly polo by AuraWear. Perfect for active lifestyles.,"[""eco-friendly"", ""streetwear"", ""preppy"", ""retro""]",Charcoal,"[""XXL"", ""XS"", ""XL"", ""S"", ""M"", ""L""]",4.2,707,2024-06-16 17:06:31,False
PROD-1060,CoastalThreads Bikini Set - Charcoal,Swimwear,Bikini Set,CoastalThreads,194.8,A versatile bikini set by CoastalThreads. Perfect for weekend getaways.,"[""athleisure"", ""streetwear"", ""resort"", ""boho""]",Charcoal,"[""L"", ""XL"", ""XXL"", ""XS"", ""M""]",4.2,675,2024-11-30 00:38:27,False
PROD-1061,IronLoom Watch - Rust,Accessories,Watch,IronLoom,139.48,A versatile watch by IronLoom. Perfect for special occasions.,"[""edgy"", ""streetwear"", ""classic""]",Rust,"[""XS"", ""XXL"", ""XL"", ""L"", ""S"", ""M""]",4.3,767,2025-08-01 21:16:54,False
PROD-1062,PrismLine Denim Skirt - Teal,Denim,Denim Skirt,PrismLine,119.0,A premium denim skirt by PrismLine. Perfect for everyday wear.,"[""luxury"", ""streetwear"", ""edgy""]",Teal,"[""XL"", ""M"", ""XXL"", ""XS"", ""L""]",4.3,163,2026-01-19 01:19:25,True
PROD-1063,PrismLine Oxford Shirt - Charcoal,Tops,Oxford Shirt,PrismLine,83.31,A eco-friendly oxford shirt by PrismLine. Perfect for everyday wear.,"[""boho"", ""eco-friendly""]",Charcoal,"[""XS"", ""S"", ""M"", ""L"", ""XL""]",3.9,352,2025-06-29 07:06:06,True
PROD-1064,SoleCraft High-Top Sneakers - White,Shoes,High-Top Sneakers,SoleCraft,292.1,A eco-friendly high-top sneakers by SoleCraft. Perfect for special occasions.,"[""resort"", ""luxury""]",White,"[""L"", ""XXL"", ""M"", ""XS"", ""S"", ""XL""]",3.2,743,2025-05-18 21:52:14,False
PROD-1065,PeakForm Graphic Tee - Navy,Tops,Graphic Tee,PeakForm,144.06,A eco-friendly graphic tee by PeakForm. Perfect for weekend getaways.,"[""casual"", ""luxury"", ""streetwear"", ""boho""]",Navy,"[""M"", ""S"", ""XS"", ""XL"", ""XXL"", ""L""]",3.8,295,2026-01-25 22:59:02,False
PROD-1066,NovaStitch Puffer Jacket - Sand,Outerwear,Puffer Jacket,NovaStitch,284.68,A versatile puffer jacket by NovaStitch. Perfect for active lifestyles.,"[""casual"", ""resort"", ""minimalist"", ""boho""]",Sand,"[""XS"", ""XXL"", ""L"", ""M"", ""S""]",4.5,184,2024-07-19 16:23:31,False
PROD-1067,PrismLine Scarf - Charcoal,Accessories,Scarf,PrismLine,142.13,A trendy scarf by PrismLine. Perfect for active lifestyles.,"[""edgy"", ""casual""]",Charcoal,"[""XL"", ""L"", ""XXL"", ""S"", ""XS"", ""M""]",3.9,26,2025-05-19 12:14:07,True
PROD-1068,CoastalThreads Board Shorts - Sand,Swimwear,Board Shorts,CoastalThreads,184.87,A premium board shorts by CoastalThreads. Perfect for active lifestyles.,"[""minimalist"", ""edgy""]",Sand,"[""S"", ""M"", ""XXL"", ""XS"", ""XL""]",4.0,548,2024-10-28 05:15:14,False
PROD-1069,PeakForm Track Jacket - Olive,Activewear,Track Jacket,PeakForm,75.23,A trendy track jacket by PeakForm. Perfect for special occasions.,"[""athleisure"", ""boho""]",Olive,"[""L"", ""XL"", ""XXL"", ""M"", ""S"", ""XS""]",4.2,159,2025-11-14 03:32:46,True
PROD-1070,VerdantCo Board Shorts - Blush,Swimwear,Board Shorts,VerdantCo,40.76,A trendy board shorts by VerdantCo. Perfect for everyday wear.,"[""classic"", ""retro""]",Blush,"[""M"", ""XS"", ""XL"", ""XXL"", ""S""]",3.9,478,2024-03-04 17:26:15,False
PROD-1071,TerraKnit Sunglasses - Rust,Accessories,Sunglasses,TerraKnit,247.06,A trendy sunglasses by TerraKnit. Perfect for special occasions.,"[""athleisure"", ""casual"", ""preppy"", ""streetwear""]",Rust,"[""S"", ""L"", ""XL""]",4.7,541,2024-09-03 14:29:15,False
PROD-1072,SoleCraft Windbreaker - Charcoal,Outerwear,Windbreaker,SoleCraft,112.3,A premium windbreaker by SoleCraft. Perfect for active lifestyles.,"[""eco-friendly"", ""casual"", ""classic"", ""streetwear""]",Charcoal,"[""XXL"", ""XL"", ""S"", ""L"", ""XS""]",4.1,601,2024-08-07 16:49:55,False
PROD-1073,PeakForm Windbreaker - Blush,Outerwear,Windbreaker,PeakForm,200.17,A classic windbreaker by PeakForm. Perfect for everyday wear.,"[""streetwear"", ""boho"", ""retro"", ""edgy""]",Blush,"[""XL"", ""M"", ""XS"", ""S"", ""XXL"", ""L""]",3.7,224,2025-06-14 20:42:18,False
PROD-1074,NovaStitch One-Piece Swimsuit - Navy,Swimwear,One-Piece Swimsuit,NovaStitch,256.43,A eco-friendly one-piece swimsuit by NovaStitch. Perfect for everyday wear.,"[""streetwear"", ""boho""]",Navy,"[""XL"", ""S"", ""L"", ""XS"", ""M""]",3.2,190,2024-09-14 03:44:50,False
PROD-1075,IronLoom Denim Shorts - Olive,Denim,Denim Shorts,IronLoom,85.51,A premium denim shorts by IronLoom. Perfect for special occasions.,"[""eco-friendly"", ""boho"", ""preppy""]",Olive,"[""XXL"", ""XL"", ""L"", ""S"", ""M""]",3.5,396,2026-02-20 05:43:13,False
PROD-1076,TerraKnit Loafers - Navy,Shoes,Loafers,TerraKnit,264.74,A trendy loafers by TerraKnit. Perfect for everyday wear.,"[""casual"", ""luxury"", ""preppy""]",Navy,"[""XS"", ""S"", ""M"", ""XL"", ""XXL""]",4.1,452,2024-05-22 11:19:46,False
PROD-1077,IronLoom Watch - Black,Accessories,Watch,IronLoom,124.7,A trendy watch by IronLoom. Perfect for active lifestyles.,"[""casual"", ""edgy"", ""retro""]",Black,"[""XS"", ""M"", ""XXL"", ""XL""]",3.8,670,2025-06-04 20:31:49,False
PROD-1078,VerdantCo Running Sneakers - Rust,Shoes,Running Sneakers,VerdantCo,273.63,A classic running sneakers by VerdantCo. Perfect for special occasions.,"[""athleisure"", ""preppy"", ""luxury"", ""casual""]",Rust,"[""XS"", ""M"", ""S"", ""L"", ""XXL"", ""XL""]",3.0,249,2025-10-14 04:13:50,False
PROD-1079,CoastalThreads Bikini Set - Rust,Swimwear,Bikini Set,CoastalThreads,221.18,A trendy bikini set by CoastalThreads. Perfect for active lifestyles.,"[""retro"", ""casual"", ""resort"", ""minimalist""]",Rust,"[""XL"", ""L"", ""S"", ""M""]",3.6,689,2024-05-12 23:55:10,False
PROD-1080,PrismLine Yoga Pants - Teal,Activewear,Yoga Pants,PrismLine,264.52,A premium yoga pants by PrismLine. Perfect for active lifestyles.,"[""retro"", ""resort"", ""casual"", ""edgy""]",Teal,"[""XXL"", ""XS"", ""M"", ""XL"", ""S""]",3.1,251,2024-06-10 00:52:08,False
PROD-1081,UrbanEdge Sports Bra - Charcoal,Activewear,Sports Bra,UrbanEdge,294.62,A classic sports bra by UrbanEdge. Perfect for special occasions.,"[""classic"", ""luxury"", ""athleisure"", ""preppy""]",Charcoal,"[""XXL"", ""L"", ""XS""]",4.0,305,2024-11-09 03:51:25,True
PROD-1082,IronLoom Leather Belt - Burgundy,Accessories,Leather Belt,IronLoom,30.24,A versatile leather belt by IronLoom. Perfect for active lifestyles.,"[""edgy"", ""retro"", ""preppy"", ""boho""]",Burgundy,"[""XXL"", ""M"", ""XL""]",4.3,132,2025-07-25 16:44:57,False
PROD-1083,SoleCraft Shirt Dress - Charcoal,Dresses,Shirt Dress,SoleCraft,122.85,A versatile shirt dress by SoleCraft. Perfect for everyday wear.,"[""preppy"", ""resort""]",Charcoal,"[""XS"", ""L"", ""S"", ""M"", ""XL"", ""XXL""]",4.6,110,2024-05-04 09:11:07,False
PROD-1084,AuraWear Bomber Jacket - Blush,Outerwear,Bomber Jacket,AuraWear,145.19,A versatile bomber jacket by AuraWear. Perfect for weekend getaways.,"[""edgy"", ""athleisure"", ""preppy"", ""classic""]",Blush,"[""XXL"", ""XS"", ""XL"", ""M"", ""S""]",4.5,377,2024-09-05 12:44:14,False
PROD-1085,AuraWear High-Top Sneakers - Black,Shoes,High-Top Sneakers,AuraWear,237.97,A premium high-top sneakers by AuraWear. Perfect for everyday wear.,"[""streetwear"", ""minimalist""]",Black,"[""XXL"", ""L"", ""M"", ""S""]",3.7,459,2024-04-29 10:29:47,False
PROD-1086,IronLoom Compression Shorts - Burgundy,Activewear,Compression Shorts,IronLoom,225.98,A premium compression shorts by IronLoom. Perfect for everyday wear.,"[""streetwear"", ""casual""]",Burgundy,"[""M"", ""L"", ""S"", ""XXL"", ""XL""]",4.0,715,2026-02-02 01:16:14,True
PROD-1087,AuraWear Running Sneakers - Navy,Shoes,Running Sneakers,AuraWear,218.66,A versatile running sneakers by AuraWear. Perfect for active lifestyles.,"[""preppy"", ""streetwear"", ""classic"", ""eco-friendly""]",Navy,"[""XXL"", ""S"", ""M"", ""L""]",4.1,234,2024-07-07 12:43:12,False
PROD-1088,AuraWear Loafers - Black,Shoes,Loafers,AuraWear,150.86,A classic loafers by AuraWear. Perfect for everyday wear.,"[""retro"", ""eco-friendly"", ""classic""]",Black,"[""M"", ""L"", ""XL""]",5.0,543,2025-09-30 03:33:07,False
PROD-1089,IronLoom Henley - White,Tops,Henley,IronLoom,116.45,A eco-friendly henley by IronLoom. Perfect for special occasions.,"[""preppy"", ""luxury"", ""retro""]",White,"[""L"", ""XL"", ""XS"", ""XXL""]",4.8,535,2024-08-25 16:49:48,False
PROD-1090,NovaStitch Ankle Boots - Charcoal,Shoes,Ankle Boots,NovaStitch,197.81,A classic ankle boots by NovaStitch. Perfect for active lifestyles.,"[""boho"", ""streetwear"", ""resort"", ""minimalist""]",Charcoal,"[""XL"", ""S"", ""XXL""]",4.1,180,2025-06-08 11:22:13,False
