event_id,customer_id,session_id,event_timestamp,event_type,page_url,product_id,category_browsed,search_term,device_type,referrer,time_on_page_seconds
EVT-AC0823493597,CUST-0338,SESS-713370E52F,2026-03-04 12:36:59,category_browse,/category/dresses,,Dresses,,tablet,direct,238
EVT-2D8DC0458B72,CUST-0046,SESS-D45D40107A,2026-03-03 01:49:27,category_browse,/category/accessories,,Accessories,,tablet,direct,15
EVT-5974C498EEA1,CUST-0340,SESS-0E0931B79D,2026-03-04 18:15:39,page_view,/account,,,,mobile,google,25
EVT-7BD8DCF41EB1,CUST-0046,SESS-F5300E9086,2026-03-04 19:43:36,category_browse,/category/dresses,,Dresses,,tablet,google,28
EVT-C2C0987CF3F0,CUST-0496,SESS-81E3B766EA,2026-03-04 07:40:59,product_view,/product/PROD-1038,PROD-1038,Outerwear,,desktop,affiliate,265
EVT-F68574778C91,CUST-0353,SESS-29B57E0E7E,2026-03-04 04:34:44,wishlist_add,/,PROD-1025,Swimwear,,tablet,email_campaign,109
EVT-86890B01A829,CUST-0023,SESS-AC80505896,2026-03-04 22:11:58,category_browse,/category/dresses,,Dresses,,tablet,google,200
EVT-FEBF118DA403,CUST-0158,SESS-AF0605D1F0,2026-03-04 02:05:02,wishlist_add,/,PROD-1029,Dresses,,desktop,email_campaign,245
EVT-650826353146,CUST-0479,SESS-BC141BC3AA,2026-03-04 17:26:16,wishlist_add,/,PROD-1090,Shoes,,mobile,email_campaign,183
EVT-0DC4911BDAC5,CUST-0282,SESS-99B28A4AEE,2026-03-02 15:19:52,remove_from_cart,/,PROD-1089,Tops,,tablet,google,198
EVT-F8957F964DF2,CUST-0220,SESS-CA71CA459C,2026-03-04 19:15:00,search,/search?q=vintage+denim,,,vintage denim,tablet,affiliate,85
EVT-0E177907A5A4,CUST-0256,SESS-797D33D8DC,2026-03-03 00:49:22,add_to_cart,/,PROD-1134,Shoes,,mobile,google,248
EVT-7ED47D5AE4C9,CUST-0102,SESS-602A4E1193,2026-03-02 23:24:09,add_to_cart,/,PROD-1000,Tops,,tablet,facebook,286
EVT-9CB9F5377164,CUST-0070,SESS-A382F7CC86,2026-03-03 20:34:50,category_browse,/category/shoes,,Shoes,,tablet,instagram,237
EVT-2565B02DFAB0,CUST-0138,SESS-EDC116F573,2026-03-03 18:34:53,category_browse,/category/outerwear,,Outerwear,,mobile,direct,267
EVT-0C92B56AE6A8,CUST-0147,SESS-F5FAE61340,2026-03-05 09:51:48,page_view,/account,,,,mobile,google,207
EVT-E21DA4B08354,CUST-0404,SESS-B998E56E11,2026-03-05 09:20:39,add_to_cart,/,PROD-1133,Shoes,,tablet,email_campaign,294
EVT-AF95186B7382,CUST-0249,SESS-E59FD80C55,2026-03-04 10:42:56,product_view,/product/PROD-1065,PROD-1065,Tops,,desktop,tiktok,283
EVT-6038C507B26A,CUST-0134,SESS-238EB1E082,2026-03-03 21:36:06,search,/search?q=running+shoes,,,running shoes,desktop,direct,249
EVT-2278CDAB5429,CUST-0174,SESS-5FD9CBA0AA,2026-03-02 14:34:18,remove_from_cart,/,PROD-1111,Accessories,,desktop,email_campaign,266
EVT-8E840D67AEE4,CUST-0490,SESS-4B2222A7FB,2026-03-03 20:43:38,search,/search?q=date+night+dress,,,date night dress,mobile,affiliate,290
EVT-B02D2CED0701,CUST-0222,SESS-5B8E66AFAE,2026-03-05 05:02:31,add_to_cart,/,PROD-1025,Swimwear,,mobile,direct,158
EVT-D4B44D28CD50,CUST-0237,SESS-FB9B5F5DC0,2026-03-02 15:18:30,search,/search?q=date+night+dress,,,date night dress,tablet,email_campaign,190
EVT-0E1FA192A902,CUST-0270,SESS-90F5CC8354,2026-03-03 10:06:45,product_view,/product/PROD-1063,PROD-1063,Tops,,mobile,email_campaign,27
EVT-81F9C29B8F96,CUST-0418,SESS-81826A8F74,2026-03-03 03:15:21,add_to_cart,/,PROD-1150,Accessories,,mobile,google,19
EVT-736ABD68C013,CUST-0088,SESS-5E644A6D83,2026-03-04 02:32:21,category_browse,/category/activewear,,Activewear,,desktop,tiktok,112
EVT-5692BC22BB7B,CUST-0156,SESS-EC80DB58BC,2026-03-04 15:13:39,add_to_cart,/,PROD-1122,Denim,,desktop,affiliate,126
EVT-A7278974FA1B,CUST-0012,SESS-0F0F9200F7,2026-03-02 19:14:22,product_view,/product/PROD-1096,PROD-1096,Activewear,,desktop,facebook,288
EVT-8A10F7E4830D,CUST-0325,SESS-DAF0375D91,2026-03-04 07:06:03,product_view,/product/PROD-1041,PROD-1041,Dresses,,desktop,google,193
EVT-211530CB2888,CUST-0184,SESS-76CCC3B0C3,2026-03-03 22:59:16,wishlist_add,/,PROD-1172,Accessories,,mobile,google,55
EVT-E6555BD8082B,CUST-0094,SESS-E83A4B4B42,2026-03-04 12:24:29,category_browse,/category/denim,,Denim,,mobile,tiktok,151
EVT-8F4050A4C7A9,CUST-0222,SESS-934B83BB70,2026-03-02 13:43:52,category_browse,/category/denim,,Denim,,desktop,tiktok,19
EVT-C992289362F5,CUST-0341,SESS-E8558AB5B6,2026-03-04 12:28:57,page_view,/account,,,,tablet,email_campaign,109
EVT-887C7A5752E0,CUST-0382,SESS-3983353B92,2026-03-03 17:14:00,add_to_cart,/,PROD-1161,Accessories,,desktop,instagram,269
EVT-F7744F8441A6,CUST-0343,SESS-E859BADFA3,2026-03-02 21:50:16,add_to_cart,/,PROD-1079,Swimwear,,desktop,google,203
EVT-EBB55E899360,CUST-0142,SESS-D371FDFFE4,2026-03-03 02:43:24,page_view,/sale,,,,mobile,email_campaign,115
EVT-587D68279540,CUST-0450,SESS-0AFECFC639,2026-03-02 14:00:08,page_view,/,,,,tablet,google,152
EVT-FA70DE110669,CUST-0147,SESS-F5FAE61340,2026-03-02 23:27:38,category_browse,/category/outerwear,,Outerwear,,tablet,instagram,12
EVT-C6A5456E29E2,CUST-0332,SESS-2A0426888E,2026-03-02 19:44:40,category_browse,/category/swimwear,,Swimwear,,tablet,email_campaign,214
EVT-039AC1BC156D,CUST-0204,SESS-4A0DDE4011,2026-03-03 18:05:47,category_browse,/category/dresses,,Dresses,,mobile,email_campaign,257
EVT-A8A602D2EAE9,CUST-0468,SESS-2102EE38B2,2026-03-03 14:09:29,product_view,/product/PROD-1025,PROD-1025,Swimwear,,tablet,email_campaign,196
EVT-3FCF4FAE9A9B,CUST-0102,SESS-3769010F02,2026-03-03 12:31:36,product_view,/product/PROD-1039,PROD-1039,Tops,,desktop,affiliate,170
EVT-CA1DDBD1A837,CUST-0422,SESS-0AECD861D8,2026-03-02 16:03:17,search,/search?q=black+jeans,,,black jeans,mobile,instagram,130
EVT-28960A353A47,CUST-0022,SESS-E71DE63AAB,2026-03-03 04:20:39,product_view,/product/PROD-1073,PROD-1073,Outerwear,,mobile,tiktok,198
EVT-D3289330CFE3,CUST-0314,SESS-020D64BD0A,2026-03-05 02:07:19,add_to_cart,/,PROD-1026,Accessories,,mobile,tiktok,43
EVT-C3191962DC69,CUST-0442,SESS-643C9E6826,2026-03-04 01:46:02,category_browse,/category/denim,,Denim,,desktop,google,267
EVT-31C74E08B84C,CUST-0421,SESS-5124143D85,2026-03-04 20:13:48,product_view,/product/PROD-1129,PROD-1129,Accessories,,mobile,tiktok,38
EVT-B5D4EE8AED15,CUST-0277,SESS-B34D646DA1,2026-03-03 19:24:37,search,/search?q=summer+dress,,,summer dress,tablet,email_campaign,61
EVT-CC29EE62A86A,CUST-0118,SESS-2B0F45C8ED,2026-03-04 06:10:11,product_view,/product/PROD-1032,PROD-1032,Activewear,,desktop,email_campaign,286
EVT-F83CE3A863B9,CUST-0192,SESS-70AE0582E5,2026-03-03 23:22:59,category_browse,/category/denim,,Denim,,tablet,email_campaign,198
EVT-DE8700E94A46,CUST-0125,SESS-5CFA381F97,2026-03-02 18:02:11,search,/search?q=beach+outfit,,,beach outfit,mobile,direct,203
EVT-0AB85F7BC443,CUST-0408,SESS-5B193D1360,2026-03-05 00:22:30,category_browse,/category/outerwear,,Outerwear,,desktop,tiktok,82
EVT-BACAF8985A17,CUST-0010,SESS-F1FBC0ACB8,2026-03-02 23:39:21,product_view,/product/PROD-1066,PROD-1066,Outerwear,,tablet,email_campaign,79
EVT-EF41CFC6C9C2,CUST-0167,SESS-5536B2810E,2026-03-04 03:37:43,wishlist_add,/,PROD-1100,Accessories,,mobile,facebook,39
EVT-2A1010D1FE88,CUST-0160,SESS-9E45E9F2A8,2026-03-03 05:05:26,add_to_cart,/,PROD-1118,Accessories,,mobile,tiktok,190
EVT-4E91EBB25082,CUST-0025,SESS-D11DF51498,2026-03-05 08:40:07,product_view,/product/PROD-1018,PROD-1018,Shoes,,mobile,email_campaign,19
EVT-18EA1F493D80,CUST-0469,SESS-DF179DBA55,2026-03-03 15:41:22,product_view,/product/PROD-1173,PROD-1173,Swimwear,,desktop,facebook,65
EVT-1D7153E214CC,CUST-0174,SESS-5FD9CBA0AA,2026-03-04 08:00:09,product_view,/product/PROD-1195,PROD-1195,Swimwear,,mobile,facebook,296
EVT-80EC154ED812,CUST-0275,SESS-B5F60F0EF4,2026-03-03 15:54:22,page_view,/,,,,mobile,tiktok,235
EVT-FBCBA6F628ED,CUST-0055,SESS-14322DC014,2026-03-04 05:21:01,wishlist_add,/,PROD-1190,Shoes,,mobile,affiliate,55
EVT-DD0293B1A350,CUST-0390,SESS-3F03B24223,2026-03-02 21:06:59,remove_from_cart,/,PROD-1187,Shoes,,desktop,affiliate,196
EVT-294561D0AAC6,CUST-0441,SESS-D3B015857A,2026-03-02 22:24:50,remove_from_cart,/,PROD-1077,Accessories,,tablet,direct,212
EVT-F08C77CD3A50,CUST-0377,SESS-2552EB4F1C,2026-03-04 12:43:15,wishlist_add,/,PROD-1198,Swimwear,,mobile,tiktok,35
EVT-04227FAFCF49,CUST-0028,SESS-AE921ACC94,2026-03-03 07:03:58,product_view,/product/PROD-1020,PROD-1020,Dresses,,desktop,google,104
EVT-77F364F57347,CUST-0041,SESS-D2639CA9A2,2026-03-02 19:32:49,wishlist_add,/,PROD-1028,Outerwear,,tablet,facebook,56
EVT-51C67EED4D24,CUST-0203,SESS-54D3D58500,2026-03-05 09:05:16,page_view,/sale,,,,mobile,facebook,121
EVT-07D8C1FE3184,CUST-0102,SESS-52E0B24695,2026-03-04 10:19:31,category_browse,/category/tops,,Tops,,desktop,affiliate,4
EVT-FD81D6B4E643,CUST-0201,SESS-415D1F5216,2026-03-03 20:47:59,category_browse,/category/denim,,Denim,,tablet,tiktok,215
EVT-0078F443CFC2,CUST-0001,SESS-2CF38E412F,2026-03-04 18:14:15,remove_from_cart,/,PROD-1070,Swimwear,,mobile,affiliate,200
EVT-A6683062A73E,CUST-0304,SESS-118372A305,2026-03-03 09:32:51,product_view,/product/PROD-1169,PROD-1169,Tops,,tablet,direct,272
EVT-FEF8CB4BD8EC,CUST-0140,SESS-65C3780E0C,2026-03-02 13:35:09,product_view,/product/PROD-1050,PROD-1050,Tops,,mobile,tiktok,184
EVT-D3F5D471E920,CUST-0263,SESS-B4F485302A,2026-03-03 10:54:57,category_browse,/category/swimwear,,Swimwear,,mobile,affiliate,81
EVT-154C0D00E174,CUST-0309,SESS-CDC4863C3E,2026-03-04 12:09:40,category_browse,/category/swimwear,,Swimwear,,tablet,tiktok,30
EVT-30FDA41BDA68,CUST-0306,SESS-6E7533254F,2026-03-02 13:59:22,category_browse,/category/accessories,,Accessories,,mobile,affiliate,233
EVT-A66284661A7B,CUST-0176,SESS-C2ACB3586D,2026-03-04 09:01:07,category_browse,/category/swimwear,,Swimwear,,mobile,email_campaign,120
EVT-B0CFAEA54DA9,CUST-0161,SESS-F0CC180A41,2026-03-02 19:45:29,remove_from_cart,/,PROD-1181,Swimwear,,mobile,direct,150
EVT-209CF0D06C0C,CUST-0052,SESS-109460842D,2026-03-04 23:24:22,product_view,/product/PROD-1161,PROD-1161,Accessories,,desktop,tiktok,39
EVT-97274E9EF47B,CUST-0002,SESS-C670614345,2026-03-02 13:13:55,search,/search?q=crossbody+bag,,,crossbody bag,mobile,direct,233
EVT-97FE11C5D9FB,CUST-0235,SESS-F0A4B8BBFD,2026-03-05 08:28:14,product_view,/product/PROD-1016,PROD-1016,Outerwear,,tablet,facebook,287
EVT-6C92E53F2A9D,CUST-0028,SESS-8D1F25D628,2026-03-03 23:36:04,category_browse,/category/dresses,,Dresses,,mobile,google,21
EVT-0BDEEE507A2B,CUST-0048,SESS-D8780468D7,2026-03-04 02:52:16,page_view,/account,,,,desktop,facebook,173
EVT-64B61A7BD71E,CUST-0192,SESS-1F0F3B79F0,2026-03-04 21:17:36,search,/search?q=leather+jacket,,,leather jacket,mobile,tiktok,118
EVT-110056448D9F,CUST-0266,SESS-2DE9BF05EC,2026-03-03 16:17:22,page_view,/sale,,,,mobile,google,146
EVT-3F4A87DA44D6,CUST-0297,SESS-A2507087F0,2026-03-05 09:13:09,category_browse,/category/dresses,,Dresses,,desktop,email_campaign,156
EVT-789A83722BDD,CUST-0377,SESS-4D8633BD4F,2026-03-04 20:25:34,search,/search?q=athleisure+set,,,athleisure set,tablet,email_campaign,142
EVT-20779B0903E3,CUST-0342,SESS-2DBE8AE4B6,2026-03-04 01:37:46,category_browse,/category/tops,,Tops,,desktop,google,129
EVT-5816F5AC2E3C,CUST-0273,SESS-EF7471E6BE,2026-03-02 13:50:46,product_view,/product/PROD-1013,PROD-1013,Swimwear,,desktop,affiliate,242
EVT-FBE7F7F4DFBC,CUST-0002,SESS-C670614345,2026-03-03 20:22:07,product_view,/product/PROD-1124,PROD-1124,Activewear,,mobile,facebook,249
EVT-500FADE7AF8F,CUST-0204,SESS-FF7B682FF6,2026-03-05 06:04:43,remove_from_cart,/,PROD-1079,Swimwear,,tablet,instagram,106
EVT-F0424F3EF280,CUST-0022,SESS-B913EB29B7,2026-03-04 02:26:00,add_to_cart,/,PROD-1026,Accessories,,mobile,google,229
EVT-F3738D406B29,CUST-0066,SESS-9B40CD8B34,2026-03-04 15:13:34,remove_from_cart,/,PROD-1194,Outerwear,,desktop,affiliate,29
EVT-07DAE9E10838,CUST-0022,SESS-948963C1CC,2026-03-04 08:51:43,category_browse,/category/denim,,Denim,,mobile,google,140
EVT-37797FF39D4B,CUST-0186,SESS-0C613DF23F,2026-03-02 18:16:18,category_browse,/category/activewear,,Activewear,,desktop,affiliate,219
EVT-7BCBDB602B3D,CUST-0300,SESS-60EDEB58BD,2026-03-03 04:33:44,category_browse,/category/accessories,,Accessories,,mobile,facebook,268
EVT-FFA3EC7F22FF,CUST-0198,SESS-7F9CE046B5,2026-03-04 17:11:12,remove_from_cart,/,PROD-1104,Swimwear,,tablet,tiktok,194
EVT-B687619385CB,CUST-0105,SESS-0BBE64D8BD,2026-03-04 05:19:39,product_view,/product/PROD-1027,PROD-1027,Accessories,,desktop,affiliate,16
EVT-ACF4AD14D50C,CUST-0138,SESS-0BA7B61EAA,2026-03-03 14:13:42,product_view,/product/PROD-1062,PROD-1062,Denim,,mobile,affiliate,31
EVT-CBD66DEDB2A8,CUST-0202,SESS-7A3F93E2A2,2026-03-04 14:35:19,remove_from_cart,/,PROD-1149,Tops,,tablet,instagram,199
EVT-CC00371AB439,CUST-0418,SESS-A9E54058ED,2026-03-05 11:21:27,search,/search?q=date+night+dress,,,date night dress,mobile,facebook,200
EVT-64F0F39CE0A6,CUST-0486,SESS-3CD86CCA2D,2026-03-05 09:42:15,product_view,/product/PROD-1189,PROD-1189,Denim,,tablet,direct,236
EVT-2CBCFEB21D08,CUST-0154,SESS-90A77CE8D9,2026-03-03 21:05:26,product_view,/product/PROD-1055,PROD-1055,Accessories,,tablet,affiliate,158
EVT-D08170848B7C,CUST-0288,SESS-541C259E17,2026-03-03 07:52:57,product_view,/product/PROD-1129,PROD-1129,Accessories,,desktop,facebook,80
EVT-DA72DB7C9063,CUST-0129,SESS-386D74802D,2026-03-04 23:54:21,wishlist_add,/,PROD-1089,Tops,,tablet,direct,171
EVT-38CCD736E062,CUST-0443,SESS-C65123DEAE,2026-03-05 00:50:45,product_view,/product/PROD-1159,PROD-1159,Swimwear,,mobile,affiliate,248
EVT-F46816AF5865,CUST-0442,SESS-FE9574F718,2026-03-04 04:17:52,search,/search?q=linen+pants,,,linen pants,tablet,google,136
EVT-D625BCA60F2E,CUST-0475,SESS-22CAC19BA8,2026-03-05 07:23:05,product_view,/product/PROD-1061,PROD-1061,Accessories,,desktop,email_campaign,105
EVT-3AA1BABA237A,CUST-0081,SESS-BBC3D1E0DF,2026-03-05 06:48:13,add_to_cart,/,PROD-1155,Denim,,desktop,direct,20
EVT-78BEE9C9C2B6,CUST-0289,SESS-26B2A452CD,2026-03-03 14:35:58,page_view,/sale,,,,tablet,facebook,54
EVT-F503DAD128B0,CUST-0322,SESS-34F362C449,2026-03-05 00:03:24,product_view,/product/PROD-1081,PROD-1081,Activewear,,desktop,email_campaign,67
EVT-79B30EDF9BAE,CUST-0075,SESS-81530100AE,2026-03-03 16:17:44,product_view,/product/PROD-1034,PROD-1034,Outerwear,,desktop,google,204
EVT-F55F23630F7B,CUST-0472,SESS-6CED929A44,2026-03-04 04:34:50,remove_from_cart,/,PROD-1156,Accessories,,mobile,tiktok,137
EVT-DF27D7634E98,CUST-0265,SESS-5B8D18F6F4,2026-03-03 17:10:26,category_browse,/category/accessories,,Accessories,,tablet,email_campaign,232
EVT-96664E8B9E35,CUST-0010,SESS-C5E61A711B,2026-03-05 08:21:07,product_view,/product/PROD-1075,PROD-1075,Denim,,tablet,facebook,170
EVT-92D4CD55C2C6,CUST-0241,SESS-0A23869820,2026-03-02 12:21:25,add_to_cart,/,PROD-1059,Tops,,tablet,facebook,124
EVT-E1761E395786,CUST-0166,SESS-E7DC3626C5,2026-03-03 22:37:12,product_view,/product/PROD-1178,PROD-1178,Dresses,,mobile,facebook,279
EVT-401416313DEE,CUST-0266,SESS-D8EA8ED868,2026-03-05 09:27:03,search,/search?q=athleisure+set,,,athleisure set,mobile,tiktok,167
EVT-F01D0F124AF7,CUST-0082,SESS-1741B5D8CF,2026-03-05 00:42:42,remove_from_cart,/,PROD-1166,Shoes,,mobile,tiktok,15
EVT-628A71B380F5,CUST-0416,SESS-E724914343,2026-03-03 16:21:26,product_view,/product/PROD-1013,PROD-1013,Swimwear,,mobile,google,44
EVT-6B3C5DFEDA04,CUST-0070,SESS-26DA0F2A4A,2026-03-02 18:03:20,page_view,/sale,,,,desktop,google,215
EVT-6EAE97D2EF78,CUST-0041,SESS-BA0A65FA8C,2026-03-03 21:28:20,remove_from_cart,/,PROD-1049,Tops,,tablet,tiktok,132
EVT-9C9FDF8889ED,CUST-0417,SESS-2C22BCD23D,2026-03-02 17:57:49,wishlist_add,/,PROD-1035,Activewear,,mobile,affiliate,121
EVT-FD34D33CFDE5,CUST-0001,SESS-2CF38E412F,2026-03-04 12:58:34,page_view,/account,,,,tablet,instagram,101
EVT-F0B2DA48D294,CUST-0357,SESS-71A1414B57,2026-03-04 12:29:50,category_browse,/category/dresses,,Dresses,,tablet,email_campaign,29
EVT-E029EDCDF4A3,CUST-0457,SESS-141CAA1EBF,2026-03-05 02:05:29,wishlist_add,/,PROD-1103,Accessories,,desktop,instagram,103
EVT-929D0837E994,CUST-0452,SESS-1F455D352C,2026-03-02 17:21:27,product_view,/product/PROD-1015,PROD-1015,Outerwear,,desktop,facebook,137
EVT-6A0A4B0A08CD,CUST-0357,SESS-42ECA70B21,2026-03-03 23:57:24,product_view,/product/PROD-1173,PROD-1173,Swimwear,,desktop,facebook,128
EVT-DB3D956DAD7A,CUST-0420,SESS-C51DEE69DE,2026-03-05 02:20:15,search,/search?q=date+night+dress,,,date night dress,desktop,facebook,217
EVT-E10558F2DBF5,CUST-0041,SESS-83143E5CEA,2026-03-02 22:05:07,remove_from_cart,/,PROD-1032,Activewear,,mobile,affiliate,274
EVT-2C34A06FA2DD,CUST-0369,SESS-B785B61FEA,2026-03-05 03:59:28,product_view,/product/PROD-1035,PROD-1035,Activewear,,mobile,direct,112
EVT-64A1FB08D832,CUST-0048,SESS-3862702BFA,2026-03-04 16:57:20,wishlist_add,/,PROD-1101,Shoes,,desktop,google,249
EVT-15629258676C,CUST-0258,SESS-702A90217D,2026-03-04 10:27:47,product_view,/product/PROD-1161,PROD-1161,Accessories,,tablet,facebook,117
EVT-38EEE320E1ED,CUST-0018,SESS-B44C3B29D4,2026-03-03 01:48:18,product_view,/product/PROD-1105,PROD-1105,Dresses,,desktop,affiliate,62
EVT-63C23B997C6F,CUST-0465,SESS-9BCDBCE1B3,2026-03-04 08:14:25,search,/search?q=crossbody+bag,,,crossbody bag,desktop,email_campaign,99
EVT-48E778872F99,CUST-0207,SESS-2F6B098F00,2026-03-04 07:02:21,remove_from_cart,/,PROD-1016,Outerwear,,desktop,affiliate,239
EVT-949A30072257,CUST-0292,SESS-46D744ADEC,2026-03-02 13:05:19,category_browse,/category/accessories,,Accessories,,mobile,instagram,298
EVT-0A74B43B422A,CUST-0447,SESS-1E675EECFA,2026-03-04 15:55:13,product_view,/product/PROD-1146,PROD-1146,Dresses,,tablet,instagram,94
EVT-4CB769DBA1EA,CUST-0229,SESS-7E9E3E75CD,2026-03-04 21:24:32,product_view,/product/PROD-1136,PROD-1136,Activewear,,mobile,facebook,208
EVT-92D58E18D324,CUST-0306,SESS-E57BEFF907,2026-03-03 00:43:44,product_view,/product/PROD-1097,PROD-1097,Outerwear,,tablet,instagram,239
EVT-13CA89298856,CUST-0391,SESS-1A4E07C10E,2026-03-04 08:03:20,category_browse,/category/activewear,,Activewear,,mobile,instagram,163
EVT-9A1DAC830ABB,CUST-0120,SESS-D54279E723,2026-03-03 18:10:51,remove_from_cart,/,PROD-1194,Outerwear,,desktop,tiktok,157
EVT-EEEAD9DFA8B4,CUST-0459,SESS-93F94F03FB,2026-03-03 08:16:26,wishlist_add,/,PROD-1194,Outerwear,,mobile,affiliate,222
EVT-79789979E682,CUST-0476,SESS-DE5A600731,2026-03-03 19:40:34,wishlist_add,/,PROD-1129,Accessories,,mobile,affiliate,62
EVT-A4846ED13098,CUST-0044,SESS-FA913B85E2,2026-03-04 21:01:39,category_browse,/category/accessories,,Accessories,,mobile,google,221
